t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
574.65	61.5	1.9	0.00	1.58	1
575.17	61.5	1.9	0.00	1.88	1
575.69	61.5	1.9	0.00	1.84	1
576.22	61.5	1.9	0.00	1.63	1
576.74	61.5	1.9	0.00	1.37	1
577.26	61.5	1.9	0.00	1.27	1
577.78	61.5	0.0	0.00	1.28	1
578.30	61.5	1.9	0.00	1.21	1
578.83	61.5	1.9	0.00	1.22	1
579.35	61.5	1.9	0.00	1.23	1
579.87	61.5	1.9	0.00	1.23	1
580.39	61.5	1.9	0.00	1.27	1
580.91	61.5	0.0	0.00	1.28	1
581.44	61.5	3.8	0.00	1.27	1
581.96	61.5	0.0	0.00	1.24	1
582.48	61.5	1.9	0.00	1.49	1
583.00	61.5	1.9	0.00	1.22	1
583.52	61.5	1.9	0.00	1.39	1
584.05	61.5	1.9	0.00	1.48	1
584.57	61.5	1.9	0.00	1.53	1
585.09	61.5	1.9	0.00	1.48	1
585.61	61.5	1.9	0.00	1.51	1
586.13	61.5	1.9	0.00	1.61	1
586.66	61.5	1.9	0.00	1.60	1
587.18	61.5	1.9	0.00	1.68	1
587.70	61.5	1.9	0.00	1.62	1
588.22	61.5	3.8	0.00	1.55	1
588.74	61.5	0.0	0.00	1.44	1
589.27	61.5	1.9	0.00	1.21	1
589.79	61.5	1.9	0.00	1.44	1
590.31	61.5	0.0	0.00	1.13	1
590.83	61.5	1.9	0.00	1.18	1
591.36	61.5	1.9	0.00	1.26	1
591.88	61.5	1.9	0.00	1.40	1
592.40	61.5	1.9	0.00	1.37	1
592.92	61.5	1.9	0.00	1.65	1
593.44	61.5	1.9	0.00	1.72	1
593.97	61.5	0.0	0.00	1.51	1
594.49	61.5	3.8	0.00	1.66	1
595.01	61.5	1.9	0.00	1.74	1
595.53	61.5	1.9	0.00	1.78	1
596.05	61.5	0.0	0.00	1.76	1
596.58	61.5	3.8	0.00	1.96	1
597.10	61.5	1.9	0.00	1.86	1
597.62	61.5	1.9	0.00	1.97	1
598.14	61.5	1.9	0.00	1.78	1
598.66	61.5	3.8	0.00	1.87	1
599.19	61.5	1.9	0.00	1.87	1
599.71	61.5	1.9	0.00	1.79	1
600.23	61.5	1.9	0.00	2.05	1
600.75	61.5	1.9	0.00	2.01	1
601.27	61.5	1.9	0.00	1.95	1
601.79	61.5	3.8	0.00	2.02	1
602.31	61.5	1.9	0.00	2.42	1
602.84	61.5	1.9	0.00	2.13	1
603.36	61.5	1.9	0.00	2.86	1
603.88	61.5	5.7	0.00	2.57	1
604.40	61.5	1.9	0.00	2.10	1
604.92	61.5	0.0	0.00	1.87	1
605.45	61.5	1.9	0.00	1.71	1
605.97	61.5	1.9	0.00	1.41	1
606.49	61.5	0.0	0.00	1.25	1
607.01	61.5	3.8	0.00	1.09	1
607.53	61.5	0.0	0.00	1.08	1
608.06	61.5	0.0	0.00	1.09	1
